input_index,reference,sentiment,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role,source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60
0,Aikin_SirBertran_1,-0.9201,Aikin_SirBertran,"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773.0,Romantic,Fragment,Gothic,,,English,Central,colors,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.32,24.44,4.8,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ainsworth_OldSaintPa_1,0.6921,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841.0,,,,m,1805.0,English,,pb-manual,6.36,0.0,0.0,0.0,0.0,0.0,0.0,21.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92,0.0,3.47,0.0,0.47,0.0,0.0,1.27,4.22,0.0,0.0,39.2,0.0,0.0,8.11,0.0,0.0,0.0,0.0,0.0,1.83
2,Ainsworth_OldSaintPa_2,0.9992,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841.0,,,,m,1805.0,English,,pb-manual,16.72,0.0,0.0,0.0,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,26.04,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,2.59,19.04,0.0
3,Ainsworth_OldSaintPa_3,-0.9989,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841.0,,,,m,1805.0,English,,pb-manual,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.95,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0
4,Ainsworth_OldSaintPa_4,-0.8591,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841.0,,,,m,1805.0,English,,pb-manual,4.0,0.0,4.12,0.0,0.0,0.0,0.31,0.0,9.42,0.0,0.0,0.0,0.53,0.0,0.0,1.89,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,1.92,51.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,4.46,0.0,0.0,2.35,0.0,0.0,9.52,0.0,0.33,0.0,0.0,0.0,3.43
5,Ainsworth_OldSaintPa_5,0.9104,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841.0,,,,m,1805.0,English,,pb-manual,0.02,0.02,0.02,0.02,0.02,0.02,0.02,70.24,26.92,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.89,0.02
6,Ainsworth_Rookwood_1,0.9997,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834.0,,Novel,Gothic,m,1805.0,English,Central,colors,0.0,0.0,1.15,0.0,0.0,9.14,0.0,0.0,0.0,0.0,0.0,0.0,4.32,9.77,3.03,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,5.89,7.07,1.06,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,39.84,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.94,0.74,0.51,0.0,0.0,1.16,2.67,0.0,0.0,0.0,2.55
7,Ainsworth_Rookwood_2,0.9994,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834.0,,Novel,Gothic,m,1805.0,English,Central,colors,4.42,9.66,2.62,0.0,0.0,2.56,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,4.48,0.0,0.0,0.0,2.26,0.0,4.83,0.0,3.89,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,7.8,0.0,0.0,6.14,0.94,0.02,0.39,0.0,1.46,0.0,0.0,0.0,4.11,0.0,9.83,0.77,0.3,0.0,0.0,1.25,2.83,4.11,4.63,0.0,0.0,0.0,9.03
8,Ainsworth_Rookwood_3,-0.9995,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834.0,,Novel,Gothic,m,1805.0,English,Central,colors,17.82,0.0,4.5,0.0,0.0,11.42,0.0,2.45,0.0,3.16,3.72,0.15,8.5,2.32,0.0,0.35,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,10.08,0.0,0.81,0.76,0.0,2.11,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39,0.0,0.0,0.25,11.7
9,Ainsworth_Rookwood_4,-0.9969,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834.0,,Novel,Gothic,m,1805.0,English,Central,colors,1.56,0.0,14.37,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,6.47,3.2,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.76,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.47,0.0,43.45,20.29,2.41,0.0,0.0
