input_index,reference,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role (central/peripheral/influence),source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51
0,Aikin_SirBertran_1,Aikin_SirBertran,"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,Romantic,Fragment,Gothic,,,English,Central,colors,7.26,1.01,2.08,2.13,1.27,2.55,8.09,2.73,0.74,4.06,0.94,0.53,0.46,1.1,2.09,0.6,0.55,0.3,0.65,2.01,0.72,0.48,0.77,3.89,0.67,0.66,0.29,4.8,0.51,0.65,2.58,0.73,0.67,1.04,0.5,2.95,0.57,2.73,0.94,0.54,0.85,0.61,2.74,9.08,4.7,5.91,3.39,0.48,0.53,0.65,0.39,2.83
1,Ainsworth_OldSaintPa_1,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841,,,,m,1805,English,,pb-manual,2.71,0.67,3.65,3.67,2.04,1.59,3.57,3.58,1.3,2.77,2.08,1.53,1.48,1.01,2.35,1.02,0.92,1.5,2.24,2.95,0.88,1.03,1.49,4.55,1.14,1.2,1.04,4.23,1.76,1.54,2.74,2.41,1.05,0.75,1.31,2.74,1.48,2.36,1.67,0.73,2.82,1.09,2.14,1.83,1.96,2.17,1.58,1.72,0.87,0.79,0.89,3.41
2,Ainsworth_OldSaintPa_2,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841,,,,m,1805,English,,pb-manual,0.47,2.24,0.35,0.18,0.76,0.87,0.41,0.17,0.88,0.48,2.17,8.05,2.0,2.46,0.65,1.45,2.98,2.93,4.91,0.76,3.22,3.31,2.86,0.37,3.03,2.56,2.36,0.32,1.8,1.44,0.24,1.14,5.56,1.56,1.63,0.95,6.55,0.35,5.1,2.86,1.76,1.73,0.32,0.23,0.37,0.19,0.31,6.58,1.72,3.12,0.91,0.38
3,Ainsworth_OldSaintPa_3,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841,,,,m,1805,English,,pb-manual,0.2,1.29,0.42,0.21,0.26,0.37,0.1,0.17,2.88,0.23,0.89,3.64,2.69,2.15,0.34,11.03,2.57,4.17,2.95,0.12,5.42,2.91,1.39,0.15,0.92,1.25,7.99,0.11,5.56,1.96,0.77,1.66,3.07,4.4,1.53,0.22,1.01,0.18,1.13,0.53,1.44,4.59,0.22,0.15,0.13,0.17,0.16,7.98,2.63,1.69,1.81,0.19
4,Ainsworth_OldSaintPa_4,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841,,,,m,1805,English,,pb-manual,0.62,3.2,0.61,1.83,0.69,0.77,0.28,0.28,1.64,0.89,1.98,2.61,3.71,2.94,0.63,0.95,5.12,1.33,2.44,1.44,2.57,1.9,1.31,0.35,1.99,0.56,1.57,0.25,3.65,2.64,0.55,1.72,4.57,3.03,1.7,0.39,7.19,0.61,2.77,1.89,10.54,2.09,0.47,0.28,0.5,0.47,0.25,2.72,1.42,3.26,2.41,0.41
5,Ainsworth_OldSaintPa_5,Ainsworth_OldSaintPa,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",1841,,,,m,1805,English,,pb-manual,3.97,0.44,2.93,2.51,2.6,2.53,2.73,2.85,0.61,1.69,0.28,0.43,0.45,0.45,3.41,0.41,0.27,0.36,0.54,2.52,0.36,0.36,0.49,5.07,0.59,0.26,0.37,9.29,0.25,0.61,2.55,0.71,0.36,0.25,0.35,1.54,0.5,5.74,0.45,0.4,0.56,0.41,2.65,8.82,2.27,14.8,2.27,0.33,0.53,0.57,0.35,3.97
6,Ainsworth_Rookwood_1,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,m,1805,English,Central,colors,0.24,2.16,0.34,0.26,0.41,0.53,0.21,0.13,3.35,0.43,3.12,4.64,1.43,2.32,0.59,2.45,1.76,1.47,2.11,0.38,8.33,2.72,2.23,0.28,1.32,2.71,4.14,0.2,3.97,2.33,0.37,1.42,2.9,5.71,4.08,0.41,3.78,0.21,3.41,1.89,2.03,3.21,0.44,0.2,0.28,0.23,0.14,2.41,1.08,4.64,4.42,0.17
7,Ainsworth_Rookwood_2,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,m,1805,English,Central,colors,0.16,2.5,0.07,0.34,0.2,0.41,0.14,0.13,1.81,0.18,1.53,1.37,3.56,1.04,0.31,9.53,3.04,4.29,5.09,0.35,0.9,1.65,2.56,0.13,2.38,1.03,2.28,0.09,1.98,4.67,0.11,1.27,2.7,2.2,2.21,0.3,6.69,0.13,2.88,5.41,2.87,1.11,0.19,0.07,0.07,0.1,0.14,2.88,5.2,8.35,1.26,0.14
8,Ainsworth_Rookwood_3,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,m,1805,English,Central,colors,1.01,4.34,1.38,0.89,1.38,1.76,1.28,0.96,2.08,1.07,2.4,5.73,2.78,1.72,0.78,2.76,1.97,1.27,1.96,1.68,3.22,2.21,1.71,0.85,1.58,1.9,1.36,1.84,2.43,2.99,0.81,1.26,1.97,3.09,3.36,0.95,2.71,1.35,2.99,1.79,0.91,1.67,0.81,1.6,0.44,0.91,0.9,3.15,2.18,3.61,2.65,1.56
9,Ainsworth_Rookwood_4,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,m,1805,English,Central,colors,0.67,5.54,1.92,1.98,0.91,1.76,1.18,1.26,3.37,0.97,0.55,2.68,1.56,2.29,0.9,4.28,1.49,2.32,5.46,0.72,1.45,3.78,4.16,0.69,1.71,2.49,3.27,0.96,3.0,2.94,1.08,1.64,3.46,1.26,1.02,0.94,1.97,0.89,1.52,2.12,1.51,1.26,0.96,0.81,1.98,1.11,0.54,3.61,2.21,1.86,1.56,0.39
10,Ainsworth_Rookwood_5,Ainsworth_Rookwood,Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,m,1805,English,Central,colors,0.31,3.94,0.67,0.34,1.16,0.9,0.33,0.13,2.19,0.35,3.04,2.78,3.95,4.0,0.53,5.82,1.2,1.25,2.46,0.85,5.27,2.89,3.09,0.34,3.03,2.58,2.27,0.41,1.71,2.22,0.55,1.64,0.95,2.35,2.91,1.0,2.63,0.29,4.85,2.13,6.3,2.49,0.5,0.45,0.33,0.28,0.26,5.28,1.95,1.41,1.15,0.32
11,Ainsworth_TheLancash_1,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848,,,,m,1805,English,,pb-manual,0.44,2.95,0.3,0.2,0.63,0.61,0.19,0.19,2.86,0.34,3.07,5.15,4.97,4.48,0.7,2.21,7.51,4.71,1.51,0.93,1.07,3.5,3.33,0.23,2.05,0.82,1.46,0.2,4.25,5.23,0.14,1.77,4.01,2.57,0.77,0.72,1.27,0.19,2.86,3.44,1.84,3.29,0.32,0.31,0.33,0.19,0.22,1.39,1.97,3.46,2.56,0.26
12,Ainsworth_TheLancash_2,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848,,,,m,1805,English,,pb-manual,3.86,1.99,1.47,2.28,1.8,1.35,1.01,1.35,1.49,1.62,1.49,1.57,1.69,1.0,1.45,1.54,3.66,1.66,2.63,2.24,1.23,1.11,1.82,1.81,2.9,1.41,1.29,2.86,1.43,1.26,1.82,2.2,1.38,2.27,1.24,1.67,1.67,1.05,1.25,1.37,3.81,1.43,2.72,2.55,3.8,2.02,1.33,2.16,3.51,1.84,2.18,2.44
13,Ainsworth_TheLancash_3,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848,,,,m,1805,English,,pb-manual,0.71,6.19,2.08,0.97,0.68,0.74,0.64,0.91,4.55,0.55,2.53,2.47,2.25,3.37,0.89,1.53,4.08,3.28,1.89,0.95,2.59,1.56,3.52,0.78,1.84,1.43,1.64,0.46,1.31,1.65,3.69,1.49,6.41,2.01,1.61,0.43,2.4,0.77,1.48,2.66,2.76,1.93,0.74,0.78,2.36,0.36,0.82,1.82,1.55,3.04,2.29,0.56
14,Ainsworth_TheLancash_4,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848,,,,m,1805,English,,pb-manual,0.2,1.18,0.24,2.63,0.23,0.17,0.11,0.55,2.64,0.16,1.31,1.99,5.2,2.77,0.18,1.77,2.21,3.78,3.41,0.51,5.73,6.57,1.31,0.15,1.19,2.76,1.88,0.15,3.91,2.19,0.17,1.15,2.39,2.26,1.95,0.17,1.74,0.16,0.96,5.76,6.22,3.84,0.17,0.16,0.16,0.11,0.1,2.28,6.08,4.7,2.29,0.12
