"input_index","reference","sentiment","text_key","title","author","date","period","mode","genre","gender","birthdate","nationality","role","source","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73"
0,"Aikin_SirBertran_1","-0.9201","Aikin_SirBertran","Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,"Romantic","Fragment","Gothic",,,"English","Central","colors","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","43.55","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","17.79","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","36.64","0.03","0.03","0.03"
1,"Ainsworth_OldSaintPa_1","0.9773","Ainsworth_OldSaintPa","Old Saint Paul's: A Tale of the Plague and the Fire","Ainsworth, William Harrison",1841,,,,"m",1805,"English",,"pb-manual","0.19","2.68","0.36","1.12","2.18","1.21","0.34","1.0","0.5","0.67","0.0","0.69","1.21","0.69","0.59","0.02","0.03","0.38","0.57","0.18","0.87","0.0","0.12","0.02","3.18","0.0","0.01","0.11","1.43","0.51","0.89","2.03","0.01","15.89","2.46","0.0","11.91","2.7","2.77","0.01","0.25","2.96","0.0","0.0","2.22","0.13","0.03","0.03","1.28","5.52","7.06","0.68","9.87","0.0","0.01","0.58","0.89","0.95","0.0","1.6","0.0","0.13","0.16","0.31","1.17","0.0","0.0","0.35","0.89","2.27","0.24","0.0","0.85"
2,"Ainsworth_Rookwood_1","0.9989","Ainsworth_Rookwood","Rookwood","Ainsworth, William Harrison",1834,,"Novel","Gothic","m",1805,"English","Central","colors","0.25","0.49","0.91","1.05","7.0","1.43","0.54","1.57","1.35","2.61","0.01","2.64","0.36","0.81","0.96","0.07","0.0","2.17","1.9","0.08","0.69","0.04","0.25","0.38","0.52","0.14","0.12","0.21","1.25","1.79","3.91","0.0","0.0","2.18","1.02","0.51","1.56","2.38","2.04","1.04","0.07","3.16","0.8","1.41","3.07","2.01","0.32","1.25","1.8","0.67","5.24","5.1","0.32","0.59","0.43","1.13","0.44","0.51","0.0","1.81","0.95","0.58","0.91","0.65","2.13","0.54","0.43","0.18","2.91","12.59","0.84","0.0","0.9"
3,"Ainsworth_TheLancash_1","-0.9998","Ainsworth_TheLancash","The Lancashire Witches: A Romance of Pendle Forest","Ainsworth, William Harrison",1848,,,,"m",1805,"English",,"pb-manual","0.0","0.43","0.0","0.18","8.61","0.83","0.0","1.36","0.01","0.43","0.0","0.02","0.0","1.98","0.27","0.0","0.29","0.0","2.85","0.0","0.0","0.0","0.0","0.0","0.0","0.44","0.47","0.0","0.0","1.57","0.39","0.02","0.0","1.01","54.75","0.0","0.2","0.54","0.07","0.0","0.0","0.33","1.13","0.0","0.4","0.0","0.0","0.79","7.57","0.0","0.37","0.02","0.36","0.0","0.0","0.0","0.81","3.76","0.33","0.21","5.82","0.09","0.0","0.23","0.37","0.0","0.0","0.0","0.23","0.22","0.11","0.0","0.0"
4,"Austen_Northanger_1","1.0","Austen_Northanger","Northanger Abbey","Austen, Jane",1817,,,,"f",1775,"English",,"gutenberg","0.21","0.01","0.01","2.16","11.04","4.61","3.06","0.33","3.96","1.46","0.01","7.04","0.04","0.01","0.06","0.01","0.01","1.89","0.93","0.01","1.95","0.01","0.01","1.41","0.01","0.01","0.01","0.01","1.35","0.21","1.26","0.01","0.01","0.32","0.55","0.01","0.27","1.29","2.24","0.01","0.01","0.02","0.01","0.01","0.22","0.01","0.01","0.01","0.01","0.01","16.46","0.21","0.12","0.01","5.66","0.3","0.01","0.01","0.01","6.79","0.76","3.34","0.84","0.82","6.64","0.56","0.01","1.11","3.25","3.79","0.5","0.01","0.8"
5,"Bangs_GhostsIHav_1","0.9937","Bangs_GhostsIHav","Ghosts I Have Met and Some Others","Bangs, John Kendrick",1898,,,,"m",1862,"American",,"gutenberg","0.39","0.01","0.39","0.26","2.53","8.84","1.24","0.89","1.15","2.87","0.77","33.96","0.31","0.0","0.36","0.0","0.0","0.73","0.84","0.09","0.52","0.01","0.0","0.0","0.0","0.0","0.0","0.0","2.14","0.04","2.26","0.0","0.52","3.4","1.55","0.0","0.75","1.67","0.36","0.0","0.0","5.61","0.17","0.0","0.0","1.05","0.61","0.45","0.36","0.29","0.21","1.48","0.49","0.45","0.17","0.18","0.0","1.59","0.92","0.44","0.53","0.0","3.78","0.11","8.06","0.59","0.13","0.0","0.25","1.97","1.1","0.08","0.0"
6,"Bangs_Toppletons_1","0.9999","Bangs_Toppletons","Toppleton's Client; Or, A Spirit in Exile","Bangs, John Kendrick",1893,,,,"m",1862,"American",,"gutenberg","0.0","0.71","0.87","0.68","10.97","4.35","0.34","0.82","3.14","1.12","1.34","7.57","3.29","0.02","1.06","0.48","0.0","0.55","3.45","0.0","0.4","0.0","0.52","1.09","2.02","0.0","0.5","0.0","1.02","1.4","2.19","0.0","0.0","1.82","1.05","0.19","1.54","0.93","0.49","0.06","0.08","2.19","0.33","0.0","0.06","0.7","0.23","0.53","1.29","0.23","6.86","1.4","0.0","0.21","0.08","1.64","0.0","0.5","1.26","3.89","1.12","1.24","0.41","0.15","8.92","1.84","0.17","0.85","4.13","2.1","0.29","0.0","1.26"
7,"Barnard_TheAbbotsG_1","1.0","Barnard_TheAbbotsG","The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story","Barnard, A. M.",1867,,,,"f",1832,"American",,"gutenberg","0.01","0.01","1.24","1.06","2.34","0.07","0.45","1.49","0.01","5.21","0.09","10.17","1.57","0.35","1.74","0.01","1.0","0.73","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","2.91","0.3","3.16","0.01","0.02","0.93","0.23","0.01","1.13","3.87","1.26","0.01","0.01","1.64","0.1","0.01","1.65","1.78","0.4","0.37","2.49","0.01","25.76","0.65","0.01","0.01","0.01","0.35","0.01","0.01","0.01","1.86","2.54","0.01","1.43","0.01","1.88","2.63","0.01","0.01","1.35","11.11","0.12","0.4","0.01"
8,"Barrett_TheHeroine_1","1.0","Barrett_TheHeroine","The Heroine","Barrett, Eaton Stannard",1813,"Romantic","Novel","Gothic Parody","m",1820,"Irish","Central","colors","0.07","0.45","1.86","2.02","16.63","2.75","1.95","0.93","1.02","0.58","0.54","2.32","0.86","0.72","1.31","0.0","0.81","1.28","2.15","0.0","0.28","0.0","0.9","0.32","0.36","0.0","1.1","0.01","2.94","1.17","1.94","0.13","0.0","0.69","1.28","0.54","0.64","3.66","1.0","0.08","0.08","0.88","0.48","0.1","5.73","0.67","1.03","1.07","0.95","0.17","3.9","2.75","1.92","0.58","1.27","1.7","0.01","0.59","0.0","2.25","0.7","0.88","3.29","1.07","2.36","1.64","0.02","0.17","1.51","3.1","1.34","0.0","2.48"
9,"Beattie_TheMinstre_1","1.0","Beattie_TheMinstre","The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771,"Romantic","Poetry",,"m",1735,"Scottish","Peripheral","colors","0.37","0.29","0.85","1.55","7.01","0.78","1.69","2.14","2.56","0.45","0.0","1.79","0.59","3.26","1.77","0.14","0.52","1.4","1.1","0.19","2.03","0.0","0.71","0.48","0.0","0.08","0.92","1.57","3.18","3.91","2.03","0.23","0.29","2.61","2.46","2.09","0.75","5.26","0.17","0.37","0.87","1.38","6.15","0.01","4.06","0.91","1.33","0.51","1.13","0.38","5.81","2.39","0.52","0.48","0.18","0.72","0.16","0.01","2.5","1.17","2.64","1.43","0.16","0.41","1.16","1.68","0.0","0.95","0.61","1.45","0.83","0.39","0.0"
