,unified_book_id,title,author,date,period,mode,genre,nationality,pseudonym
0,6,"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773.0,Romantic,Fragment,Gothic,English,
1,0,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",,,,,,
2,320,Rookwood,"Ainsworth, William Harrison",1834.0,,Novel,Gothic,American,
3,1,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",,,,,,
4,2,Windsor Castle,"Ainsworth, William Harrison",,,,,,
5,3,Northanger Abbey,"Austen, Jane",,,,,,
6,4,Ghosts I Have Met and Some Others,"Bangs, John Kendrick",,,,,,
7,5,"Toppleton's Client; Or, A Spirit in Exile","Bangs, John Kendrick",,,,,,
8,6,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story","Barnard, A. M.",,,,,,
9,241,The Heroine,"Barrett, Eaton Stannard",1813.0,Romantic,Novel,Gothic Parody,Irish,
10,4,"The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771.0,Romantic,Poetry,,Scottish,
11,7,The History of Caliph Vathek,"Beckford, William",,,,,,
12,18,Vathek,"Beckford, William",1786.0,Romantic,Novella,Oriental Tale,English,
13,378,"""The Death Of Halpin Frayser""","Bierce, Ambrose",1891.0,,Short Story,Gothic,American,
14,11,"A Son of the Gods, and A Horseman in the Sky","Bierce, Ambrose",,,,,,
15,10,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",,,,,,
16,8,"The Damned Thing
1898, From 'In the Midst of Life'","Bierce, Ambrose",,,,,,
17,9,The Devil's Dictionary,"Bierce, Ambrose",,,,,,
18,393,The Willows,"Blackwood, Algernon",1907.0,Edwardian,Novella,Gothic,English,
19,72,Bungay Castle. A Novel,"Bonhote, Elizabeth",1796.0,Romantic,Novel,Gothic,English,
20,346,Jane Eyre,"Brontë, Charlotte",1847.0,Victorian,Novel,Gothic,English,"Bell, Currer"
21,348,Villette,"Brontë, Charlotte",1850.0,Victorian,Novel,Gothic,English,
22,344,Wuthering Heights,"Brontë, Emily",1847.0,Victorian,Novel,Gothic,English,
23,12,Wuthering Heights,"Brontë, Emily Jane",,,,,,
24,125,"Arthur Mervyn; Or, Memoirs Of The Year 1793","Brown, Charles Brockden",1799.0,,Novel,Gothic,American,
25,13,Edgar Huntley,"Brown, Charles Brockden",,,,,,
26,14,"Edgar Huntly; or, Memoirs of a Sleep-Walker","Brown, Charles Brockden",,,,,,
27,124,"Ormond; Or, The Secret Witness","Brown, Charles Brockden",1799.0,,Novel,Gothic,American,
28,108,"Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden",1798.0,,Novel,Gothic,American,
29,15,"Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden",,,,,,
30,73,"Camilla, Or A Picture Of Youth","Burney, Frances",1796.0,Romantic,Novel,Gothic,English,
31,16,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance","Burton, Sir Richard Francis",,,,,,
32,250,Manfred,"Byron, Lord George Gordon",1816.0,Romantic,Drama,Gothic,English,
33,242,The Giaour,"Byron, Lord George Gordon",1813.0,Romantic,Poetry,Narrative Poem,English,
34,90,The Horrors Of Oakendale Abbey,"Carver, Mrs.",1797.0,Romantic,Novel,Gothic,,
35,385,The King In Yellow,"Chambers, Robert W.",1895.0,,Short Story Collection,Gothic,American,
36,18,In Search of the Unknown,"Chambers, Robert William",,,,,,
37,19,The Hidden Children,"Chambers, Robert William",,,,,,
38,17,The King in Yellow,"Chambers, Robert William",,,,,,
39,369,For The Term Of His Natural Life,"Clarke, Marcus",1874.0,Victorian,Novel,Gothic,English-Australian,
40,109,Christabel,"Coleridge, Samuel Taylor",1798.0,Romantic,Poetry,Gothic,English,
41,110,The Rime Of The Ancient Mariner,"Coleridge, Samuel Taylor",1798.0,Romantic,Poetry,Gothic,English,
42,20,The Moonstone,"Collins, Wilkie",,,,,,
43,21,The Woman in White,"Collins, Wilkie",,,,,,
44,20,"""Invocation To Horror""","Cowley, Hannah",1788.0,Romantic,Poetry,Della Cruscan,English,"Matilda, Anna"
45,178,Hours Of Solitude,"Dacre, Charlotte",1805.0,Romantic,Poetry Collection,Gothic,English,
46,316,"Klosterheim, Or, The Masque","DeQuincey, Thomas",1832.0,Romantic,Novel,Gothic,English,
47,340,Suspiria De Profundis: Being A Sequel To The Confessions Of An English Opium-Eater',"DeQuincey, Thomas",1845.0,Victorian,Short Story Collection,Gothic,English,
48,352,Bleak House,"Dickens, Charles",1854.0,Victorian,Novel,Gothic,English,
49,405,Great Expectations,"Dickens, Charles",1861.0,Victorian,Novel,Gothic,English,
50,404,Oliver Twist,"Dickens, Charles",1838.0,Victorian,Novel,Gothic,English,Boz
51,366,The Mystery Of Edwin Drood,"Dickens, Charles",1870.0,Victorian,Novel,Gothic,English,
52,23,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles John Huffam",,,,,,
53,22,The Haunted Man and the Ghost's Bargain,"Dickens, Charles John Huffam",,,,,,
54,24,The Lost Stradivarius,"Falkner, John Meade",,,,,,
55,25,Carmilla,"Fanu, J. Sheridan Le",,,,,,
56,26,Uncle Silas: A Tale of Bartram-Haugh,"Fanu, J. Sheridan Le",,,,,,
57,70,Secrecy,"Fenwick, Eliza",1795.0,Romantic,Novel,Gothic,English,
58,27,The Invaders,"Ferris, Benjamin",,,,,,
59,358,"""Lois The Witch""","Gaskell, Elizabeth",1861.0,Victorian,Short Story,Gothic,English,
60,359,"""The Grey Woman""","Gaskell, Elizabeth",1861.0,Victorian,Short Story,Gothic,English,
61,356," ""The Doom Of The Griffiths""","Gaskell, Elizabeth",1858.0,Victorian,Short Story,Gothic,English,
62,381,"""The Yellow Wallpaper""","Gilman, Charlotte Perkins",1892.0,,Short Story,Gothic,American,
63,28,"Caleb Williams; Or, Things as They Are","Godwin, William",,,,,,
64,128,St. Leon. A Tale Of The Sixteenth Century,"Godwin, William",1799.0,Romantic,Novel,Gothic,English,
65,54,The Adventures Of Caleb Williams,"Godwin, William",1794.0,Romantic,Novel,Gothic,English,
66,29,The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension,"Griffith-Jones, George Chetwynd",,,,,,
67,375,She: A History Of Adventure,"Haggard, H. Rider",1886.0,Victorian,Novel,Gothic,English,
68,30,The People of the Mist,"Haggard, Rider",,,,,,
69,327,"""Edward Randolph'S Portrait""","Hawthorne, Nathaniel",1838.0,,Short Story,Gothic,American,
70,324,"""The Minister'S Black Veil""","Hawthorne, Nathaniel",1836.0,,Short Story,Gothic,American,
71,37,Beneath an Umbrella (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
72,34,Chippings with a Chisel (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
73,35,Edward Fane's Rosebud (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
74,33,Fancy's Show-Box (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
75,32,Footprints on the Sea-Shore (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
76,40,Little Annie's Ramble (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
77,36,Mosses from an old manse,"Hawthorne, Nathaniel",,,,,,
78,31,Sights from a Steeple (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
79,54,Snow Flakes (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
80,53,Sunday at Home (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
81,52,Tanglewood Tales,"Hawthorne, Nathaniel",,,,,,
82,51,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,
83,50,The Haunted Mind (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
84,349,The House Of The Seven Gables,"Hawthorne, Nathaniel",1851.0,,Novel,Gothic,American,
85,38,The House of the Seven Gables,"Hawthorne, Nathaniel",,,,,,
86,55,The Lily's Quest (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
87,49,"The Miraculous Pitcher
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,
88,47,"The Paradise of Children
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,
89,46,The Seven Vagabonds (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
90,45,The Sister Years (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
91,41,"The Three Golden Apples
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,
92,43,The Threefold Destiny (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
93,48,The Toll Gatherer's Day (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
94,56,The Village Uncle (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
95,42,The Vision of the Fountain (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
96,44,The White Old Maid (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,
97,39,Twice-Told Tales,"Hawthorne, Nathaniel",,,,,,
98,387,The Beetle: A Mystery,"Heldmann, Richard Bernard",1897.0,Victorian,Novel,Gothic,English,"Marsh, Richard"
99,394,The House On The Borderland,"Hodgson, William Hope",1907.0,Edwardian,Novel,Gothic,English,
100,294,The Private Memoirs And Confessions Of A Justified Sinner,"Hogg, James",1824.0,Romantic,Novel,Gothic,Scottish,
101,57,The Private Memoirs and Confessions of a Justified Sinner,"Hogg, James",,,,,,
102,42,Anna St. Ives. A Novel,"Holcroft, Thomas",1792.0,Romantic,Novel,Gothic,English,
103,295,"""The Adventure Of The German Student""","Irving, Washington",1824.0,Romantic,Short Story,Gothic,American,
104,392,"""The Monkey'S Paw""","Jacobs, W. W.",1902.0,Edwardian,Short Story,Gothic,English,
105,59,"The Monkey's Paw
The Lady of the Barge and Others, Part 2.","Jacobs, William Wymark",,,,,,
106,390,"""The Real Right Thing""","James, Henry",1899.0,Victorian,Short Story,Gothic,American-English,
107,389,The Turn Of The Screw,"James, Henry",1898.0,Victorian,Novella,Gothic,American-English,
108,60,The Turn of the Screw,"James, Henry",,,,,,
109,61,A Thin Ghost and Others,"James, Montague Rhodes",,,,,,
110,62,Ghost Stories of an Antiquary,"James, Montague Rhodes",,,,,,
111,63,Told After Supper,"Jerome, Jerome Klapka",,,,,,
112,267,"""La Belle Dame Sans Merci""","Keats, John",1819.0,Romantic,Poetry,Gothic,English,
113,276,"Isabella, Or The Pot Of Basil","Keats, John",1820.0,Romantic,Poetry,Gothic,English,
114,368,Carmilla,"Le Fanu, Sheridan",1872.0,Victorian,Novel,Gothic,Irish,
115,361,Uncle Silas,"Le Fanu, Sheridan",1864.0,Victorian,Novel,Gothic,Irish,
116,16,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,English,
117,1,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,Irish,
118,79,"""Alonzo The Brave And Fair Imogine""","Lewis, Matthew Gregory",1796.0,Romantic,Poetry,Gothic,English,
119,96,The Castle Spectre,"Lewis, Matthew Gregory",1797.0,Romantic,Drama,Gothic,English,
120,78,The Monk. A Romance,"Lewis, Matthew Gregory",1796.0,Romantic,Novel,Gothic,English,
121,64,The Monk: A Romance,"Lewis, Monk",,,,,,
122,65,At the Back of the North Wind,"MacDonald, George",,,,,,
123,66,"St. George and St. Michael, Volume 1","MacDonald, George",,,,,,
124,67,The Light Princess,"MacDonald, George",,,,,,
125,68,The Princess and Curdie,"MacDonald, George",,,,,,
126,69,The Princess and the Goblin,"MacDonald, George",,,,,,
127,71,The Angels of Mons: The Bowmen and Other Legends of the War,"Machen, Arthur",,,,,,
128,383,The Great God Pan,"Machen, Arthur",1894.0,Victorian,Novel,Gothic,Welsh,
129,70,The Great God Pan,"Machen, Arthur",,,,,,
130,72,The House of Souls,"Machen, Arthur",,,,,,
131,386,The Three Impostors,"Machen, Arthur",1895.0,Victorian,Novel,Gothic,Welsh,
132,328,The Phantom Ship,"Marryat, Frederick",1839.0,,Novel,Gothic,English,
133,73,The Beetle: A Mystery,"Marsh, Richard",,,,,,
134,279,Melmoth The Wanderer,"Maturin, Charles Robert",1820.0,Romantic,Novel,Gothic,Irish,
135,305,The Epicurean. A Tale,"Moore, Thomas",1827.0,Romantic,Novel,Gothic,Irish,
136,357,"""What Was It? A Mystery""","O'Brien, Fitz-James",1859.0,Victorian,Short Story,Gothic,Irish,
137,371,"""A Beleaguered City, Being A Narrative Of Certain Recent Events In The City Of Semur, In The Department Of The Haute Bourgogne. A Story Of The Seen And The Unseen:","Oliphant, Margaret",1880.0,Victorian,Short Story,Gothic,Scottish,
138,80,The Haunted Cavern. A Caledonian Tale,"Palmer, John, Jr.",1796.0,Romantic,Novel,Gothic,English,
139,391,The Lane That Had No Turning,"Parker, Gilbert",1900.0,,Novella,Gothic,Canadian,
140,46,The Castle Of Wolfenbach,"Parsons, Eliza",1793.0,Romantic,Novel,Gothic,English,
141,258,Nightmare Abbey,"Peacock, Thomas Love",1818.0,Romantic,Novel,Gothic Parody,English,
142,74,Nightmare Abbey,"Peacock, Thomas Love",,,,,,
143,280,The Vampire,"Planché, James Robinson",1820.0,Romantic,Drama,Gothic,English,
144,347,"""Annabel Lee""","Poe, Edgar Allan",1849.0,,Poetry,Gothic,American,
145,322,"""Berenice""","Poe, Edgar Allan",1835.0,,Short Story,Gothic,American,
146,337,"""The Black Cat""","Poe, Edgar Allan",1843.0,,Short Story,Gothic,American,
147,330,"""The Fall Of The House Of Usher""","Poe, Edgar Allan",1839.0,,Short Story,Gothic,American,
148,333,"""The Masque Of The Red Death""","Poe, Edgar Allan",1842.0,,Short Story,Gothic,American,
149,335,"""The Oval Portrait""","Poe, Edgar Allan",1842.0,Victorian,Short Story,Gothic,American,
150,338,"""The Tell-Tale Heart""","Poe, Edgar Allan",1843.0,,Short Story,Gothic,American,
151,75,The Fall of the House of Usher,"Poe, Edgar Allan",,,,,,
152,329,The Narrative Of Arthur Gordon Pym Of Nantucket,"Poe, Edgar Allan",1839.0,,Novel,Gothic,American,
153,76,The Raven,"Poe, Edgar Allan",,,,,,
154,270,The Vampyre. A Tale,"Polidori, John William",1819.0,Romantic,Novella,Gothic,English,
155,77,The Vampyre; a Tale,"Polidori, John William",,,,,,
156,30,"""Superstition: An Ode""","Radcliffe, Ann",1790.0,Romantic,Poetry,Gothic,English,
